User_ID,Current_Location,Time_of_Day,Device_Type,Weather,Preferred_Cuisine,Dietary_Restriction,Last_Order_Days_Ago,Average_Spend,Dish_Cuisine,Dish_Price,Dish_Popularity,Restaurant_Rating,Delivery_Time_Minutes,Clicked_On,Added_to_Cart,Ordered,Dish_Style
30,Home,Late Night,Mobile,Rainy,Chinese,Vegan,11,26.59,Thai,24.89,Medium,3.6,59,Yes,Yes,No,Fresh
38,Other,Breakfast,Tablet,Cloudy,Thai,Halal,13,20.94,Italian,9.92,Low,4.4,31,No,Yes,No,Soupy
2,Home,Lunch,Tablet,Rainy,Thai,Gluten-Free,8,12.26,American,19.13,Medium,4.1,40,No,No,No,Smoky
64,Work,Breakfast,Mobile,Sunny,Italian,None,14,44.59,American,28.5,High,4.1,35,No,Yes,Yes,Soupy
60,Other,Lunch,Mobile,Hot,Indian,None,11,42.52,Indian,15.05,Medium,4.0,42,Yes,Yes,Yes,Smoky
21,Work,Late Night,Tablet,Cold,Chinese,Halal,0,49.99,Italian,21.07,Medium,4.0,16,Yes,No,No,Cold
33,Home,Late Night,Tablet,Rainy,Italian,Gluten-Free,8,49.87,American,16.12,High,4.5,57,Yes,Yes,Yes,Hot
76,Other,Lunch,Tablet,Sunny,Mexican,None,7,32.22,Indian,17.99,High,3.2,15,No,Yes,Yes,Cold
58,Home,Dinner,Desktop,Cold,Italian,Gluten-Free,0,40.76,Thai,20.07,Low,3.7,50,Yes,Yes,Yes,Crunchy
22,Work,Lunch,Mobile,Hot,Italian,Halal,5,47.79,Indian,20.08,Low,3.2,40,No,Yes,Yes,Crunchy
89,Home,Dinner,Tablet,Cold,Indian,None,4,43.99,American,12.44,High,4.5,43,No,Yes,No,Smoky
49,Other,Breakfast,Mobile,Sunny,Mexican,Gluten-Free,5,19.89,Mexican,23.06,High,3.5,35,Yes,No,No,Fresh
91,Other,Breakfast,Desktop,Cold,Italian,None,9,28.02,Mexican,9.93,Low,4.8,25,Yes,No,No,Fresh
59,Work,Breakfast,Desktop,Cloudy,Chinese,Halal,11,15.17,Mexican,11.05,Medium,4.1,54,No,No,Yes,Smoky
42,Home,Late Night,Tablet,Cold,Chinese,Gluten-Free,12,48.16,American,8.06,High,4.6,25,Yes,Yes,No,Crunchy
92,Other,Breakfast,Desktop,Rainy,Thai,None,12,34.25,Mexican,10.57,Low,5.0,50,No,No,No,Crunchy
60,Work,Dinner,Mobile,Rainy,Mexican,Halal,12,19.15,Italian,18.41,Medium,4.7,53,Yes,Yes,Yes,Crunchy
80,Other,Breakfast,Tablet,Cloudy,Mexican,None,14,36.87,Thai,21.33,High,4.7,54,Yes,Yes,Yes,Cold
15,Other,Lunch,Mobile,Sunny,Thai,None,4,34.73,Indian,25.47,Medium,3.8,49,No,Yes,No,Crunchy
62,Home,Lunch,Mobile,Rainy,Italian,Vegan,5,24.33,Indian,10.35,Low,4.1,48,Yes,Yes,No,Soupy
62,Other,Late Night,Desktop,Hot,Mexican,Vegan,4,14.54,American,26.72,High,3.5,38,No,No,No,Hot
47,Home,Lunch,Desktop,Rainy,Chinese,Halal,10,36.86,Mexican,24.41,Medium,3.4,36,Yes,No,No,Crunchy
62,Other,Dinner,Desktop,Rainy,Chinese,Vegan,11,30.81,Mexican,16.99,High,4.0,19,No,Yes,Yes,Smoky
51,Work,Breakfast,Desktop,Sunny,Indian,Halal,4,40.89,Chinese,28.52,Medium,4.2,47,No,No,No,Hot
55,Other,Late Night,Desktop,Cold,Mexican,Vegan,3,30.81,Thai,29.8,Low,3.7,50,Yes,Yes,No,Cold
64,Home,Breakfast,Tablet,Rainy,Italian,None,2,44.09,Italian,12.51,Low,4.1,34,No,No,Yes,Smoky
3,Home,Breakfast,Mobile,Cloudy,Thai,Halal,2,32.08,Indian,16.34,High,4.8,33,Yes,No,No,Hot
51,Work,Dinner,Mobile,Cold,Thai,Halal,3,32.44,Chinese,28.38,Medium,4.1,49,Yes,Yes,Yes,Smoky
7,Other,Lunch,Mobile,Hot,Italian,None,8,45.07,Chinese,23.88,High,4.4,57,Yes,No,Yes,Cold
21,Other,Lunch,Mobile,Sunny,American,Halal,1,26.14,American,9.06,High,4.6,31,No,Yes,Yes,Soupy
73,Work,Breakfast,Desktop,Hot,Indian,Halal,14,15.36,Indian,25.19,Medium,5.0,59,No,No,No,Cold
39,Other,Late Night,Mobile,Cold,Thai,Vegan,8,11.15,American,26.21,Medium,4.2,57,Yes,Yes,No,Cold
18,Other,Lunch,Tablet,Cold,Mexican,Halal,0,40.21,Italian,24.51,Medium,4.6,48,Yes,Yes,Yes,Smoky
4,Home,Late Night,Tablet,Cold,Indian,Gluten-Free,13,34.81,Chinese,25.59,Low,4.9,23,No,No,No,Fresh
89,Other,Lunch,Mobile,Hot,Mexican,None,14,38.16,Chinese,26.15,High,4.9,40,Yes,No,No,Crunchy
60,Other,Late Night,Mobile,Cold,Chinese,Vegan,14,18.52,Thai,12.1,High,3.3,16,Yes,Yes,Yes,Crunchy
14,Work,Dinner,Tablet,Hot,Indian,Vegan,0,15.45,Italian,13.19,Low,3.8,23,No,No,Yes,Soupy
9,Work,Late Night,Tablet,Cold,Thai,Gluten-Free,4,10.58,Chinese,21.94,Medium,3.6,23,Yes,No,No,Soupy
90,Home,Dinner,Desktop,Cloudy,Indian,None,5,24.02,Italian,27.97,Low,3.2,54,No,Yes,Yes,Crunchy
53,Other,Dinner,Tablet,Cold,Indian,None,5,33.6,Indian,14.96,Low,4.3,31,Yes,Yes,No,Fresh
2,Other,Late Night,Desktop,Hot,Indian,Vegan,2,25.69,Mexican,20.94,Low,4.5,15,No,No,No,Crunchy
84,Other,Dinner,Desktop,Rainy,American,Halal,6,27.5,Chinese,23.03,High,4.7,39,Yes,Yes,No,Fresh
92,Home,Breakfast,Desktop,Cold,Indian,Vegan,8,46.17,Thai,17.94,Low,3.2,57,Yes,Yes,No,Soupy
60,Home,Dinner,Desktop,Rainy,Mexican,None,10,23.93,Indian,23.7,High,4.8,54,No,Yes,Yes,Hot
71,Work,Lunch,Desktop,Cloudy,Chinese,Gluten-Free,11,30.56,Italian,27.79,High,4.3,56,Yes,No,Yes,Smoky
44,Home,Late Night,Mobile,Sunny,Italian,Vegan,9,41.35,American,21.73,High,4.4,39,No,No,Yes,Soupy
8,Other,Breakfast,Tablet,Cloudy,Indian,None,7,25.86,Indian,19.88,Medium,4.8,53,Yes,Yes,Yes,Soupy
47,Other,Late Night,Desktop,Cold,Thai,Vegan,5,34.88,Chinese,17.65,High,4.2,49,No,No,No,Cold
35,Home,Lunch,Tablet,Rainy,Indian,Halal,11,44.49,Italian,20.7,High,3.7,17,No,Yes,No,Cold
78,Other,Lunch,Tablet,Rainy,Thai,Vegan,7,47.98,Mexican,15.82,Medium,4.7,51,No,No,Yes,Cold
81,Other,Lunch,Desktop,Hot,Mexican,Vegan,11,15.88,Indian,16.61,High,3.7,58,No,Yes,No,Smoky
36,Home,Dinner,Mobile,Rainy,Thai,None,4,47.06,Chinese,19.7,Low,3.1,58,Yes,Yes,No,Cold
50,Home,Dinner,Desktop,Hot,Italian,None,7,29.68,Thai,9.47,Low,4.7,44,Yes,No,No,Fresh
4,Other,Late Night,Mobile,Sunny,Chinese,None,9,20.33,American,13.04,High,3.7,52,No,Yes,Yes,Crunchy
2,Other,Late Night,Tablet,Cold,Thai,Vegan,11,28.37,Italian,19.94,Medium,4.5,48,No,No,Yes,Hot
6,Other,Breakfast,Mobile,Hot,Thai,Halal,3,49.2,Indian,17.49,Low,3.7,26,No,No,Yes,Soupy
54,Work,Breakfast,Mobile,Sunny,Chinese,Gluten-Free,9,29.7,Indian,15.32,Medium,4.7,33,Yes,Yes,No,Fresh
4,Work,Late Night,Mobile,Rainy,Italian,Gluten-Free,7,23.15,Mexican,24.07,Medium,3.4,51,Yes,Yes,Yes,Hot
54,Work,Dinner,Tablet,Rainy,Indian,None,9,35.34,Mexican,23.26,Low,4.9,58,Yes,No,Yes,Fresh
93,Home,Lunch,Tablet,Sunny,Thai,None,11,19.61,Thai,11.67,Medium,4.6,31,Yes,Yes,Yes,Fresh
63,Work,Late Night,Mobile,Rainy,Chinese,Vegan,1,13.03,American,27.33,Low,3.2,24,No,Yes,Yes,Soupy
18,Home,Breakfast,Mobile,Sunny,Mexican,Gluten-Free,11,15.16,Thai,18.9,Medium,4.1,26,No,Yes,Yes,Crunchy
90,Home,Dinner,Desktop,Hot,Chinese,None,11,15.12,Chinese,24.31,Low,5.0,30,No,Yes,Yes,Cold
44,Work,Late Night,Mobile,Hot,Mexican,Halal,4,16.08,Chinese,20.61,High,3.9,38,Yes,Yes,No,Smoky
34,Work,Late Night,Desktop,Sunny,Italian,Halal,8,15.55,Thai,29.95,Low,3.4,33,Yes,No,No,Crunchy
74,Work,Dinner,Mobile,Hot,Indian,None,3,35.63,American,24.55,Low,4.0,22,Yes,No,Yes,Smoky
62,Other,Late Night,Desktop,Hot,Chinese,None,10,17.28,Thai,23.55,Low,4.0,45,No,Yes,Yes,Soupy
100,Work,Dinner,Tablet,Hot,American,Gluten-Free,5,23.83,American,25.13,Low,4.5,35,No,Yes,No,Soupy
14,Other,Lunch,Mobile,Cloudy,Thai,Gluten-Free,14,45.87,American,11.15,Medium,4.4,31,Yes,Yes,No,Soupy
95,Home,Dinner,Mobile,Cold,Italian,Vegan,0,28.96,Italian,12.5,High,3.8,37,No,No,Yes,Hot
48,Other,Dinner,Mobile,Rainy,Chinese,Gluten-Free,8,36.7,American,23.71,Low,3.4,51,Yes,Yes,Yes,Smoky
15,Work,Dinner,Mobile,Cloudy,Thai,Halal,0,16.89,Mexican,18.87,Medium,4.3,30,Yes,No,Yes,Crunchy
72,Home,Late Night,Desktop,Hot,Chinese,Halal,4,17.69,American,24.6,High,3.8,20,No,No,Yes,Crunchy
78,Home,Late Night,Mobile,Sunny,Mexican,None,3,11.63,American,10.26,High,3.3,22,Yes,No,No,Fresh
87,Home,Dinner,Tablet,Hot,Chinese,Gluten-Free,12,16.76,American,19.8,High,4.8,39,No,Yes,Yes,Fresh
62,Other,Late Night,Tablet,Cold,American,Vegan,11,21.14,Chinese,16.33,High,4.4,32,Yes,No,Yes,Fresh
40,Work,Breakfast,Mobile,Hot,Chinese,Halal,12,17.08,Mexican,18.05,Low,4.4,39,No,Yes,Yes,Soupy
85,Home,Breakfast,Tablet,Sunny,Chinese,Halal,12,13.55,Mexican,21.29,Low,4.6,26,No,No,Yes,Crunchy
80,Home,Late Night,Mobile,Cold,American,Vegan,13,14.83,Thai,19.05,Medium,4.1,29,No,Yes,No,Smoky
82,Home,Late Night,Mobile,Hot,Italian,Vegan,2,28.43,Italian,19.88,Medium,4.6,40,Yes,No,No,Soupy
53,Other,Dinner,Tablet,Cold,Chinese,Halal,12,18.25,American,18.7,Medium,4.0,55,Yes,Yes,No,Hot
24,Other,Lunch,Mobile,Rainy,American,Halal,5,24.57,Indian,17.0,High,3.1,59,No,No,Yes,Fresh
